00701D669C,Java-1.8_JUnit,Prime_Factors,1,snake,/Users/michaelhilton/Development/Mycyberdojo/katas/00/701D669C/snake/,3,2,1,0,1.000000,1.000000,10,1,74.0,true,[{red:0:18.0}{red:0:39.0}{green:2:17.0};;2014-05-10 17:55:37 -0700;;2014-05-10 17:56:51 -0700;;74.0;;2]
009AD0FD5B,Java-1.8_JUnit,Yatzy,1,alligator,/Users/michaelhilton/Development/Mycyberdojo/katas/00/9AD0FD5B/alligator/,13,1,8,4,,,216,3,29406.0,false,[{green:0:7.0}{green:0:17.0}{green:0:251.0}{green:2:40.0}{green:6:10.0};;2013-07-15 15:29:36 -0700;;2013-07-15 15:35:01 -0700;;325.0;;8][{red:12:163.0}{green:24:302.0}{green:16:24.0}{green:11:11.0};;2013-07-15 15:35:01 -0700;;2013-07-15 15:43:21 -0700;;500.0;;71][{amber:9:42.0}{amber:0:28178.0}{amber:0:86.0}{amber:0:275.0};; NOT A CYCLE]
00AE83D7EA,Python-unittest,Leap_Years,1,hippo,/Users/michaelhilton/Development/Mycyberdojo/katas/00/AE83D7EA/hippo/,32,5,5,22,,1.0,8,4,12299.0,true,[{red:0:32.0}{amber:15:262.0}{amber:2:15.0}{amber:0:55.0}{amber:2:33.0}{amber:2:21.0}{amber:5:54.0}{amber:4:170.0}{amber:2:48.0}{amber:2:309.0}{amber:2:10.0}{amber:2:14.0}{amber:5:45.0}{amber:2:48.0}{amber:2:23.0}{amber:7:360.0}{amber:4:91.0}{red:2:20.0}{green:2:53.0};;2014-01-09 12:57:58 -0800;;2014-01-09 13:25:41 -0800;;1663.0;;62][{red:6:86.0}{amber:5:60.0}{amber:4:13.0}{amber:2:19.0}{amber:2:179.0}{amber:2:16.0}{amber:2:13.0}{green:4:112.0};;2014-01-09 13:25:41 -0800;;2014-01-09 13:33:59 -0800;;498.0;;89][{red:4:10017.0}{green:4:64.0}{green:4:20.0};;2014-01-09 13:33:59 -0800;;2014-01-09 16:22:20 -0800;;10101.0;;101][{red:2:9.0}{green:4:28.0};;2014-01-09 16:22:20 -0800;;2014-01-09 16:22:57 -0800;;37.0;;107]
00B841D5FD,Java-1.8_JUnit,Roman_Numerals,1,alligator,/Users/michaelhilton/Development/Mycyberdojo/katas/00/B841D5FD/alligator/,2,1,1,0,1.000000,1.000000,10,1,29.0,true,[{red:0:13.0}{green:2:16.0};;2014-03-13 21:45:52 -0700;;2014-03-13 21:46:21 -0700;;29.0;;2]
00C327D7B6,Java-1.8_JUnit,Leap_Years,1,hippo,/Users/michaelhilton/Development/Mycyberdojo/katas/00/C327D7B6/hippo/,8,4,4,0,0.500000,0.333333,16,4,543.0,true,[{red:0:7.0}{green:2:30.0};;2014-03-13 21:37:11 -0700;;2014-03-13 21:37:48 -0700;;37.0;;2][{red:2:112.0}{green:2:12.0};;2014-03-13 21:37:48 -0700;;2014-03-13 21:39:52 -0700;;124.0;;6][{red:2:20.0}{green:14:168.0};;2014-03-13 21:39:52 -0700;;2014-03-13 21:43:00 -0700;;188.0;;22][{red:4:127.0}{green:11:67.0};;2014-03-13 21:43:00 -0700;;2014-03-13 21:46:14 -0700;;194.0;;37]
00E0B3A302,Java-1.8_JUnit,Fizz_Buzz,1,frog,/Users/michaelhilton/Development/Mycyberdojo/katas/00/E0B3A302/frog/,25,10,12,3,1.000000,0.833333,43,10,2561.0,true,[{red:0:12.0}{green:6:89.0}{green:0:89.0};;2014-02-24 07:54:26 -0800;;2014-02-24 07:57:36 -0800;;190.0;;6][{amber:3:55.0}{green:4:61.0};;2014-02-24 07:57:36 -0800;;2014-02-24 07:59:32 -0800;;116.0;;13][{red:6:45.0}{green:4:49.0};;2014-02-24 07:59:32 -0800;;2014-02-24 08:01:06 -0800;;94.0;;23][{red:4:41.0}{green:2:77.0};;2014-02-24 08:01:06 -0800;;2014-02-24 08:03:04 -0800;;118.0;;29][{red:6:35.0}{green:4:26.0}{green:12:250.0};;2014-02-24 08:03:04 -0800;;2014-02-24 08:08:15 -0800;;311.0;;51][{amber:6:37.0}{green:2:10.0};;2014-02-24 08:08:15 -0800;;2014-02-24 08:09:02 -0800;;47.0;;59][{amber:25:300.0}{green:2:23.0};;2014-02-24 08:09:02 -0800;;2014-02-24 08:14:25 -0800;;323.0;;86][{red:2:19.0}{green:2:14.0};;2014-02-24 08:14:25 -0800;;2014-02-24 08:14:58 -0800;;33.0;;90][{red:6:143.0}{red:2:19.0}{red:2:21.0}{green:2:29.0};;2014-02-24 08:14:58 -0800;;2014-02-24 08:18:30 -0800;;212.0;;102][{red:10:1092.0}{red:2:8.0}{green:10:17.0};;2014-02-24 08:18:30 -0800;;2014-02-24 08:37:07 -0800;;1117.0;;124]
00E6723CBC,Java-1.8_JUnit,Anagrams,16,alligator,/Users/michaelhilton/Development/Mycyberdojo/katas/00/E6723CBC/alligator/,21,2,9,10,1.000000,1.000000,25,5,3605.0,true,[{red:0:2081.0}{amber:25:448.0}{amber:2:14.0}{green:2:16.0}{green:2:81.0};;2014-05-02 15:56:05 -0700;;2014-05-02 16:40:05 -0700;;2640.0;;31][{amber:13:269.0}{amber:6:37.0}{amber:2:16.0}{amber:1:44.0}{amber:2:9.0}{amber:2:132.0}{green:1:15.0}{green:4:59.0};;2014-05-02 16:40:05 -0700;;2014-05-02 16:49:46 -0700;;581.0;;62][{amber:6:144.0}{green:2:11.0}{green:1:35.0}{green:2:28.0};;2014-05-02 16:49:46 -0700;;2014-05-02 16:53:24 -0700;;218.0;;73][{red:2:48.0}{green:4:34.0};;2014-05-02 16:53:24 -0700;;2014-05-02 16:54:46 -0700;;82.0;;79][{amber:5:67.0}{green:0:17.0};;2014-05-02 16:54:46 -0700;;2014-05-02 16:56:10 -0700;;84.0;;84]
00E6723CBC,Java-1.8_JUnit,Anagrams,16,deer,/Users/michaelhilton/Development/Mycyberdojo/katas/00/E6723CBC/deer/,51,8,24,19,1.000000,0.920000,57,9,20761.0,true,[{red:0:54.0}{green:2:31.0};;2014-05-02 15:56:05 -0700;;2014-05-02 15:57:30 -0700;;85.0;;2][{amber:92:4153.0}{amber:6:81.0}{amber:6:113.0}{amber:2:19.0}{red:10:179.0}{green:2:35.0}{green:4:86.0}{green:3:137.0};;2014-05-02 15:57:30 -0700;;2014-05-02 17:17:33 -0700;;4803.0;;127][{amber:12:97.0}{green:1:68.0}{green:5:60.0};;2014-05-02 17:17:33 -0700;;2014-05-02 17:21:18 -0700;;225.0;;145][{amber:3:118.0}{amber:0:23.0}{amber:20:158.0}{amber:6:41.0}{red:2:16.0}{amber:2:54.0}{red:2:28.0}{amber:2:29.0}{amber:4:27.0}{green:2:42.0}{green:2:21.0}{green:4:33.0}{green:4:149.0};;2014-05-02 17:21:18 -0700;;2014-05-02 17:33:37 -0700;;739.0;;198][{amber:5:270.0}{green:2:16.0}{green:2:179.0}{green:2:97.0};;2014-05-02 17:33:37 -0700;;2014-05-02 17:42:59 -0700;;562.0;;209][{amber:7:70.0}{amber:0:5.0}{amber:2:20.0}{green:2:27.0}{green:4:58.0};;2014-05-02 17:42:59 -0700;;2014-05-02 17:45:59 -0700;;180.0;;224][{red:2:78.0}{green:2:10.0}{green:2:214.0}{green:2:170.0}{green:3:55.0};;2014-05-02 17:45:59 -0700;;2014-05-02 17:54:46 -0700;;527.0;;235][{amber:40:13107.0}{amber:2:16.0}{red:8:37.0}{red:2:59.0}{amber:6:51.0}{green:2:12.0}{green:2:40.0}{green:4:129.0}{green:2:84.0};;2014-05-02 17:54:46 -0700;;2014-05-02 21:40:21 -0700;;13535.0;;303][{red:4:77.0}{green:2:28.0};;2014-05-02 21:40:21 -0700;;2014-05-02 21:42:06 -0700;;105.0;;309]
00E6723CBC,Java-1.8_JUnit,Anagrams,16,frog,/Users/michaelhilton/Development/Mycyberdojo/katas/00/E6723CBC/frog/,28,2,10,16,1.000000,1.000000,65,8,3241.0,true,[{red:0:36.0}{green:2:39.0};;2014-05-02 15:56:05 -0700;;2014-05-02 15:57:20 -0700;;75.0;;2][{amber:17:242.0}{amber:3:19.0}{amber:4:21.0}{amber:0:85.0}{amber:2:17.0}{green:2:13.0};;2014-05-02 15:57:20 -0700;;2014-05-02 16:03:57 -0700;;397.0;;30][{amber:31:1253.0}{red:1:17.0}{green:2:57.0};;2014-05-02 16:03:57 -0700;;2014-05-02 16:26:04 -0700;;1327.0;;64][{amber:19:225.0}{green:2:20.0}{green:2:33.0};;2014-05-02 16:26:04 -0700;;2014-05-02 16:30:42 -0700;;278.0;;87][{amber:15:206.0}{amber:2:39.0}{amber:4:32.0}{amber:2:17.0}{green:2:16.0}{green:12:51.0};;2014-05-02 16:30:42 -0700;;2014-05-02 16:36:43 -0700;;361.0;;124][{amber:6:81.0}{green:1:29.0};;2014-05-02 16:36:43 -0700;;2014-05-02 16:38:33 -0700;;110.0;;131][{amber:12:272.0}{amber:5:40.0}{amber:6:28.0}{green:4:17.0};;2014-05-02 16:38:33 -0700;;2014-05-02 16:44:30 -0700;;357.0;;158][{amber:7:324.0}{green:2:12.0};;2014-05-02 16:44:30 -0700;;2014-05-02 16:50:06 -0700;;336.0;;167]
00E6723CBC,Java-1.8_JUnit,Anagrams,16,gorilla,/Users/michaelhilton/Development/Mycyberdojo/katas/00/E6723CBC/gorilla/,34,2,7,25,1.000000,1.000000,29,6,146535.0,true,[{red:0:47.0}{amber:25:102209.0}{amber:7:30.0}{amber:2:12.0}{amber:4:65.0}{amber:2:11.0}{amber:2:15.0}{green:2:60.0};;2014-05-02 15:56:05 -0700;;2014-05-03 20:23:34 -0700;;102449.0;;44][{amber:14:509.0}{green:2:50.0};;2014-05-03 20:23:34 -0700;;2014-05-03 20:32:53 -0700;;559.0;;60][{amber:2:63.0}{green:2:43.0};;2014-05-03 20:32:53 -0700;;2014-05-03 20:34:39 -0700;;106.0;;64][{amber:2:130.0}{amber:27:40730.0}{amber:0:29.0}{amber:2:33.0}{amber:2:25.0}{amber:8:154.0}{amber:2:90.0}{amber:2:85.0}{amber:2:106.0}{amber:2:82.0}{red:4:141.0}{amber:17:845.0}{amber:2:22.0}{green:2:149.0};;2014-05-03 20:34:39 -0700;;2014-05-04 08:25:00 -0700;;42621.0;;138][{amber:7:262.0}{amber:2:10.0}{amber:2:50.0}{amber:1:64.0}{green:2:46.0};;2014-05-04 08:25:00 -0700;;2014-05-04 08:32:12 -0700;;432.0;;152][{amber:7:265.0}{green:2:12.0}{green:5:91.0};;2014-05-04 08:32:12 -0700;;2014-05-04 08:38:20 -0700;;368.0;;166]
